nuvola	G28I1EI29
richiesta	I0Q1DK81II0KK80MI8QI9
gridare	K26GK80IK80
risolvere	I3DK81KM1QK61SI49O49
suggerire	I18CK26KI41M40QI41M40
tradurre	Q25EM18MQ25SK26UI9
sussurrare	K26GM25MI9Q25SK80
gridare	K26GK80IK80KK80
ciao	K26GM1MK61QK63M1
ci vediamo	K26CM56GM56IM56
per piacere	K80CI8GI9
benvenuto	I8EI9KM1OI40M24Q1QK61SI41WM24
benvenuto	I8EI9KI60MI0QI14SQ25UI0
lista	I0I25Q25EI0GM40M41MK27
mappa	I0I25Q25EI0GQ1
ricetta	I0I25Q25EI0GM40Q1KM41QK26Q25
regola	I0I25Q25EI0GI18OM1UK61
ritmo	K24EK24GK25O25MI9Q25SM1YK61[I0
storia	I0I25Q25EI0GK26
avviso	I0I25Q25EI0GK26IM56MK80OK80
giornale	I3EI0KM40M41QI2UI24M25
quotidiano	I0I25Q25EI0GK26II9M56
firma	M1M41KK27
hobby	M38CM39GI18KK80
arte	M40Q1EM41KI8OI9
pastello	I16KK26Q25MM56
disegnare	I16KK26Q25MM56QI3
dipingere	I17GM27II24MK26Q25OM56SK28WM29
pittore	Q25CI0GK26Q25IM56MK28QM29
poema	I0I25Q25EI0GI11IE26Q25KI0I10QI8UI9
orchestra	M40M41GQ25II0MM41OK27QI0UM26YI24M49
campanello	K27GM85KM26OI24M49
coro	M40M41GQ25II0MK26SM26WI24L49
compositore	Q25CI0GI18M40Q1KM41QM26UI24M49
direttore d'orchestra	Q25CI0GI18OM1UK61YM26]I24M49
musica	I9GM26KI24M49
canzone	K26GM26KI24M49
strumento musicale	M41CK27EI0IM26MI24M49
melodia	I18M40Q1EM41KM26OI24M49
musicista	Q25CI0GM26KI24M49
cantante	Q25CI0GK26MM26QI24M49
fischiare	K26GM26KI24M49MM1M39OM38QM39SM38
pellicola	I26K24O43EK24GI2I3IK26KM56
film	I26K24O43EK24GI2I3IK26KM56OM1UK61
registratore	I2CM26M77KI0OI0RI9
giradischi	I2CM26M77KI2OM56UI9
videoregistratore	I2CM26M77KI0OI0QK26SM56WI9
jet	I11CM26M77EI10KI3OM1UK61
lago	M40M41GO28KQ29
mare	M40M41GM40M41MO28QQ29
decollo	I11CM26M77EI10KI17QI73
aeroporto	I40M24Q1EI41IM24KI11MM26M77OI10
incidente	K26Q25CK24GM25MI18OI6QK81
benzina	K28EM29KK26K77
atteraggio	I11CM26M77EI10KI16QO74
muovere	M26M77Q25
mandare	I27M26M77GI0IM1OK61
taxi	M1M26M77EM26M77FJ64GK65KI0I2OI24M25SI0
iglietto	I0I25Q25EI0GM1KI3MK61
traffico	M40M41GM1M26M77KM26M77LJ64MK65
carbone	K12EI2I3IK12K24SI26UM10M24
foresta	M40M41GM40M41MI23QI0I22
crescere	I26CM24GI60II0
carne	K26Q25GM1M38IM39KM38MM39
metallo	K27Q25GK27KK27
latte	K28CK26Q25EM29KI2OI0
acciaio	K27Q25GI17M41
zucchero	M1EI0KI14K26Q25QI60SI0
treno	M40M41GM1M26M77KM26M77
legno	K27Q25GI23KI0I22
operaio	Q25CI0GI38M38II39M39
internazionale	Q1EI27M24KI3I16I17
capo	Q25CI0GI18OM1UK61
poliziotto	Q25CI0GI40KI41
stato	M25CK56O56GQ1KI27M24
esercito	M40M41GQ25II0MI17M41QI16UM40
marina	M40M41GQ25II0MI17M41QI16UM40[O28_Q29
soldato	Q25CI0GI17M41KI16OM40
appuntamento	I2EI24M25KM1QK61UK63M1
clinica pediatica	Q1II1Q1QI0SM30UI0I31WM26[M24O25_M24
dentista	Q25CI0EM30GI0I31JM1M39LM38NM39PM38
dottore	Q25CI0EM30GI0I31
terapista	Q25CI14GI15IQ25OM1UK61YQ25[I0
soffocare	O62CI0EK28GK26Q25IM29OM25UK80
tossire	K26GI1KI14M1Q25QK61
handicap	M56CI15GI14MI0UI0
ferire	I8EI9KM40OM41SM24
starnutire	I14Q25GI1KI14M1Q25QK61UK80
vomitare	I3EM1KK61OK26Q25
benda	K1O1CI0GI0KI40OI41SM30UI0I31
canneto	E51BI0DI14Q25HI15LQ25
medicina	I17GM27II24KI30MI0M31
pillola	M26FM31HI30JI0M31
baby sitter	Q25CI0GI40KI41QI26M25Q25SM24
pompiere	Q25CI0GI17IM30KI31
segretaria	Q25CI0GI3IK26
vacanza	I2Q1KI8OI9UI60WI0
anniversario	I2GK62MM56OM56
capodanno	I2Q1KI40NL78OI41K24UI2[L62
natale	I2Q1KI40NL78OI41K24UK25WI0
halloween	I2Q1KQ25MI0QK26SM56WM1[I0]K61
san valentino	I2Q1KM25OI8SI9M1YK61
pasqua	I2Q1KI60MI0QK25SI0
regalo	K27GM19II60KI0
festa	M25CK61EI62O60GG24O24IK63M25OI8SI9YI60[I0
cuoco	M40Q1EM41KK26Q25
bicchiere	K27Q25GI0Q25KI0
colla	I17GM27II24MI0OM25QK24UI0
cuoio	K27Q25GI40KI41QM1M38SM39UM38WM39
giocare	M38CM39GI8KI9QI60SI0
nascondere	I0I41M40GM25MK26OM56
sabbia	Q56EM56Q56GM40Q25KM24
guanto	I40EI41KM41OI0
bambola	I26M25Q25CM24GM40Q1KM41
cappello	I40EI41MI2OO25QK24
gioco	K27GM38IM39MI8QI9WI60YI0
boxe	M38CM39GI16I17M24OM24
calcio	M38CM39GM26O25MI14Q25QI15UQ25
pallamano	M38CM39GM26O25MM41QI0
sport	M38CM39GI24M25KI0
scalare	I14Q25EI15IQ25OI60QI0
campo da gioco	Q1CN62KM38MM39QI24M25UI0
esercizio	I38M38CI39M39GI24M25KI0
palestra	I1Q1II0KM38MM39QI24M25VI0
vincere	O1EK1GM61KI61OM1SI0
incontro	M25CK61EI62O60GG24O24IK63M25OK26UK1M63O1[I61
partita	E51BI0CM30EI31
picnic	K26Q25GI3QM56
termos	M19KL25O25QI25M25Q25SI0S56
zoo	I26CM24Q1GI23KI0J22QM1M38SM39UM38WM39
bar	Q1II1Q1QI0SI41TQ1WI40M24
bar	Q1II1Q1QI0SI41Q1WI40M24
ristorante	Q1II1Q1QI0SK26Q25
caffetteria	Q1II1Q1QI0SM40M41YK26Q25^P57aM25Q25cM24
come	K81EM38GM39
quanti	K81EM40M41
quando	K81FI2JI24M25
chi	K81EQ25GI0
perché	K81FK24K65M64
sì	M25CK24GK80IK80
cenere	I17CK27IM30KI31
secco	I64CI0O64GK28KM29
tempesta	M40M41GI1KI14M1Q25QK61
alba	M18Q1KI60MI0
tramonto	M18Q1KO62MI0
fondere	K27DK28HM29
zebra	M1M38CM39EM38GM39II40MI65QI0
lupo	I44CM1M38EM39GM38IM39MI0Q1UI0
tigre	O66BM1M38DM39EO66FM38HM39IO66NI0
coccodrillo	M1M38Q28CM39EM38S29GM39KM42OO43SM42YM1M39[M38]M39_M38
bruco	Q1Q42ES43IQ25Q42OI6QI7SI6UI7
leone	O66BM1M38DM39EO66FM38HM39IO66NI6PE61I1Q1RF68TF68VF68XI7
balena	N45CL18N28GP29LQ25MI25OI0
porcospino	I41EI41M1M38GM39II41M38KM39OM1M39QM38SM39UM38
alce	M1M38CM39EI43M38GM39KI25Q25MI0
cervo	M1M38CM39EI43M38GM39KI2MJ60
mucca	M1M38CM39EK43M38GM39KM38Q25MM39
toro	M1M38CM39EK43M38GM39KM38MM39
bue	M1M38CM39EK43M38GM39KI38M38MI39M39
scimmia	M1M38CM39EM38GM39KK24OK24QK25O25WQ25YI0
pollo	I11CM60EI10KK26Q25
falco	I11CM60EI10KI60MI0QK80
pinguino	I11CM60EI10KI14Q25OI15SQ25
gufo	I11CM60EI10KQ1NI7I21
pappagallo	I11CM60EI10KK26
pavone	I11CM60EI10KI18M41OM40
tacchino	I11CM60EI10KK26Q25QI25Q25SI0
avvoltoio	I11CM60EI10KI2I17OI0
papera	I11O28CM60EI10Q29
oca	I11O28CM60EI10Q29KI25Q25MI0
gabbiano	I11O28CM60EI10Q29KI17MK27
pellicano	I11O28CM60EI10Q29KM19
cavalletta	M38CM39EM38GM39IM38KM39OM18UO62
formica	M38CM39EM38GM39IM38KM39OI38M38QI39M39UK80
pulce	M18CK26EM31KM25Q25MM24
scorpione	M18CK26EM31KI17M41TG63
anguilla	M18M19KM42OO43SM42
pesce rosso	M18M19KI8OI9
squalo	M18M19KM1M39MM38OM39QM38
stella marina	M18M19KK77M25MK24
gabbia	I3KI3K1O1MI0QI0
sessualità	I8EI9KM38MM39OM38Q25QM39
ovaia	M19KI2MK28M29
sesso	I26M40M41GM38IM39KM38Q25MM39
fertile	K28EM29GI2IK28M29
aborto spontaneo	K28EM29GI2I17IK28M29QM38Q25SI24M39
aborto	I0I41M40GK28KM29MI2I17OK28M29WM38Q25YI24M39
incinta	K28EM29GI2IK28M29QM38Q25SI24M39
rirpoduzione	K28EM29GI2IK28M29QI0I41M40WM26[M24O25_M24
astinenza	I18M1GK61II0KM25QK26TK26ZI0Q25[K63
celibato	M25GK26IK26OI0Q25PK63
travaglio	I38M38CI39M39GI6II1K26Q48KS62MK24M25Q24OQ48QI7K24
abuso	I18I24M25EI0KK80
abbraccio	I24M25GI21M56
incesto	K26DK26JI0Q25KK63PI40TI41VQ25XI0I40\I41
masturbazione	I0Q25BK63GM41KI0MI8QI9WI60YI0
orgasmo	I8EI9KK80MK80OK80QI0Q25RK63
prostituzione	K26DK26JI0Q25KK63PI26M26RI0
stupro	I18I24M25EI0KK80MK26PK26VI0Q25WK63
eccitazione sessuale 	I8EI9KK80MK80OK80QM38SM39UM38WM39
molestie	M40M41GI1I8I17Q1KI9QM38SM39UM38Q25WM39
rapporto sessuale	K26DK26JI0Q25KK63
esibizionismo	I0I41M40GK26IM56MI0Q25NK63
voyeurismo	I0Q1CK26EM56II0KK80MM38OM39QM38Q25SM39
verginità	M25GK26JK26PI0Q25QK63VI7
pubertà	I0Q1CK26EM56II0KI8OI9UM38WM39YM38Q25[M39
staff	M40M41GQ25II0MI14OQ25QI0
squadra	M40M41GQ25II0MI38M38OI39M39SI0UM25WK24[I0
architettura	I18M40Q1EM41KI40M24Q1OI41SM24
commesso	Q25CI0GI14IQ25KI0OM19QI26M26SI0
